country,scenario,multiplier,metric,value
MLI,+25% (1.25x),1.25,diesel_price_usd_l,1.23
MLI,+25% (1.25x),1.25,battery_mwh,1232.0
MLI,+25% (1.25x),1.25,battery_investment_usd_m,173.6
MLI,+25% (1.25x),1.25,vos_usd_m,509.2
MLI,+25% (1.25x),1.25,total_investment_usd_m,2075.0
MLI,+25% (1.25x),1.25,lcoe_hybrid_usd_kwh,0.216
MLI,+25% (1.25x),1.25,fuel_exposure_pct,31.6
MLI,+25% (1.25x),1.25,battery_leverage,3.61
MLI,+25% (1.25x),1.25,renewable_share_pct,95.6
MLI,+25% (1.25x),1.25,vos_vs_baseline_pct,35.6
MLI,+25% (1.25x),1.25,vos_ratio,1.36
MLI,+50% (1.5x),1.5,diesel_price_usd_l,1.47
MLI,+50% (1.5x),1.5,battery_mwh,1262.0
MLI,+50% (1.5x),1.5,battery_investment_usd_m,173.1
MLI,+50% (1.5x),1.5,vos_usd_m,645.1
MLI,+50% (1.5x),1.5,total_investment_usd_m,2076.4
MLI,+50% (1.5x),1.5,lcoe_hybrid_usd_kwh,0.221
MLI,+50% (1.5x),1.5,fuel_exposure_pct,37.9
MLI,+50% (1.5x),1.5,battery_leverage,4.37
MLI,+50% (1.5x),1.5,renewable_share_pct,96.2
MLI,+50% (1.5x),1.5,vos_vs_baseline_pct,71.8
MLI,+50% (1.5x),1.5,vos_ratio,1.72
MLI,+75% (1.75x),1.75,diesel_price_usd_l,1.72
MLI,+75% (1.75x),1.75,battery_mwh,1303.0
MLI,+75% (1.75x),1.75,battery_investment_usd_m,171.1
MLI,+75% (1.75x),1.75,vos_usd_m,779.1
MLI,+75% (1.75x),1.75,total_investment_usd_m,2076.3
MLI,+75% (1.75x),1.75,lcoe_hybrid_usd_kwh,0.227
MLI,+75% (1.75x),1.75,fuel_exposure_pct,44.3
MLI,+75% (1.75x),1.75,battery_leverage,5.19
MLI,+75% (1.75x),1.75,renewable_share_pct,96.6
MLI,+75% (1.75x),1.75,vos_vs_baseline_pct,107.5
MLI,+75% (1.75x),1.75,vos_ratio,2.08
MLI,+100% (2.0x),2.0,diesel_price_usd_l,1.96
MLI,+100% (2.0x),2.0,battery_mwh,1316.0
MLI,+100% (2.0x),2.0,battery_investment_usd_m,170.5
MLI,+100% (2.0x),2.0,vos_usd_m,895.3
MLI,+100% (2.0x),2.0,total_investment_usd_m,2078.6
MLI,+100% (2.0x),2.0,lcoe_hybrid_usd_kwh,0.232
MLI,+100% (2.0x),2.0,fuel_exposure_pct,50.0
MLI,+100% (2.0x),2.0,battery_leverage,5.89
MLI,+100% (2.0x),2.0,renewable_share_pct,96.6
MLI,+100% (2.0x),2.0,vos_vs_baseline_pct,138.5
MLI,+100% (2.0x),2.0,vos_ratio,2.38
NGA,Baseline (1.0x),1.0,diesel_price_usd_l,0.64
NGA,Baseline (1.0x),1.0,battery_mwh,24828.0
NGA,Baseline (1.0x),1.0,battery_investment_usd_m,3983.9
NGA,Baseline (1.0x),1.0,vos_usd_m,4891.0
NGA,Baseline (1.0x),1.0,total_investment_usd_m,18520.9
NGA,Baseline (1.0x),1.0,lcoe_hybrid_usd_kwh,0.194
NGA,Baseline (1.0x),1.0,fuel_exposure_pct,47.0
NGA,Baseline (1.0x),1.0,battery_leverage,1.94
NGA,Baseline (1.0x),1.0,renewable_share_pct,88.9
NGA,Baseline (1.0x),1.0,vos_vs_baseline_pct,0.0
NGA,Baseline (1.0x),1.0,vos_ratio,1.0
NGA,+10% (1.1x),1.1,diesel_price_usd_l,0.7
NGA,+10% (1.1x),1.1,battery_mwh,26527.0
NGA,+10% (1.1x),1.1,battery_investment_usd_m,4208.7
NGA,+10% (1.1x),1.1,vos_usd_m,5808.2
NGA,+10% (1.1x),1.1,total_investment_usd_m,18740.7
NGA,+10% (1.1x),1.1,lcoe_hybrid_usd_kwh,0.196
NGA,+10% (1.1x),1.1,fuel_exposure_pct,49.3
NGA,+10% (1.1x),1.1,battery_leverage,2.03
NGA,+10% (1.1x),1.1,renewable_share_pct,92.5
NGA,+10% (1.1x),1.1,vos_vs_baseline_pct,18.8
NGA,+10% (1.1x),1.1,vos_ratio,1.19
NGA,+25% (1.25x),1.25,diesel_price_usd_l,0.8
NGA,+25% (1.25x),1.25,battery_mwh,27498.0
NGA,+25% (1.25x),1.25,battery_investment_usd_m,4105.0
NGA,+25% (1.25x),1.25,vos_usd_m,7082.5
NGA,+25% (1.25x),1.25,total_investment_usd_m,18668.9
NGA,+25% (1.25x),1.25,lcoe_hybrid_usd_kwh,0.198
NGA,+25% (1.25x),1.25,fuel_exposure_pct,56.4
NGA,+25% (1.25x),1.25,battery_leverage,2.38
NGA,+25% (1.25x),1.25,renewable_share_pct,92.8
NGA,+25% (1.25x),1.25,vos_vs_baseline_pct,44.8
NGA,+25% (1.25x),1.25,vos_ratio,1.45
NGA,+50% (1.5x),1.5,diesel_price_usd_l,0.96
NGA,+50% (1.5x),1.5,battery_mwh,28669.0
NGA,+50% (1.5x),1.5,battery_investment_usd_m,4305.9
NGA,+50% (1.5x),1.5,vos_usd_m,9374.5
NGA,+50% (1.5x),1.5,total_investment_usd_m,18866.0
NGA,+50% (1.5x),1.5,lcoe_hybrid_usd_kwh,0.203
NGA,+50% (1.5x),1.5,fuel_exposure_pct,68.2
NGA,+50% (1.5x),1.5,battery_leverage,2.86
NGA,+50% (1.5x),1.5,renewable_share_pct,95.8
NGA,+50% (1.5x),1.5,vos_vs_baseline_pct,91.7
NGA,+50% (1.5x),1.5,vos_ratio,1.92
NGA,+75% (1.75x),1.75,diesel_price_usd_l,1.12
NGA,+75% (1.75x),1.75,battery_mwh,29167.0
NGA,+75% (1.75x),1.75,battery_investment_usd_m,4293.3
NGA,+75% (1.75x),1.75,vos_usd_m,11264.3
NGA,+75% (1.75x),1.75,total_investment_usd_m,18859.1
NGA,+75% (1.75x),1.75,lcoe_hybrid_usd_kwh,0.206
NGA,+75% (1.75x),1.75,fuel_exposure_pct,76.7
NGA,+75% (1.75x),1.75,battery_leverage,3.24
NGA,+75% (1.75x),1.75,renewable_share_pct,96.3
NGA,+75% (1.75x),1.75,vos_vs_baseline_pct,130.3
NGA,+75% (1.75x),1.75,vos_ratio,2.3
NGA,+100% (2.0x),2.0,diesel_price_usd_l,1.28
NGA,+100% (2.0x),2.0,battery_mwh,30091.0
NGA,+100% (2.0x),2.0,battery_investment_usd_m,4271.7
NGA,+100% (2.0x),2.0,vos_usd_m,13203.7
NGA,+100% (2.0x),2.0,total_investment_usd_m,18869.5
NGA,+100% (2.0x),2.0,lcoe_hybrid_usd_kwh,0.211
NGA,+100% (2.0x),2.0,fuel_exposure_pct,86.9
NGA,+100% (2.0x),2.0,battery_leverage,3.72
NGA,+100% (2.0x),2.0,renewable_share_pct,96.9
NGA,+100% (2.0x),2.0,vos_vs_baseline_pct,170.0
NGA,+100% (2.0x),2.0,vos_ratio,2.7
SEN,Baseline (1.0x),1.0,diesel_price_usd_l,0.97
SEN,Baseline (1.0x),1.0,battery_mwh,727.0
SEN,Baseline (1.0x),1.0,battery_investment_usd_m,107.5
SEN,Baseline (1.0x),1.0,vos_usd_m,228.2
SEN,Baseline (1.0x),1.0,total_investment_usd_m,874.5
SEN,Baseline (1.0x),1.0,lcoe_hybrid_usd_kwh,0.211
SEN,Baseline (1.0x),1.0,fuel_exposure_pct,37.3
SEN,Baseline (1.0x),1.0,battery_leverage,2.82
SEN,Baseline (1.0x),1.0,renewable_share_pct,92.8
SEN,Baseline (1.0x),1.0,vos_vs_baseline_pct,0.0
SEN,Baseline (1.0x),1.0,vos_ratio,1.0
SEN,+10% (1.1x),1.1,diesel_price_usd_l,1.07
SEN,+10% (1.1x),1.1,battery_mwh,749.0
SEN,+10% (1.1x),1.1,battery_investment_usd_m,106.5
